League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: X 0.0, Old Odds: 4.03, New Odds: 3.5, Time: 2023-11-18 15:13:09
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: X 0.0, Old Odds: 4.33, New Odds: 3.5, Time: 2023-11-18 15:13:09
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.5, Old Odds: 1.781, New Odds: 1.5, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.5, Old Odds: 1.699, New Odds: 1.5, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.29, New Odds: 1.833, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.15, New Odds: 1.833, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.5, Old Odds: 1.99, New Odds: 1.625, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.5, Old Odds: 1.952, New Odds: 1.625, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.5, Old Odds: 1.813, New Odds: 1.625, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.71, New Odds: 2.05, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.64, New Odds: 2.05, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.37, New Odds: 2.05, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 0.5, Old Odds: 2.49, New Odds: 2.22, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -0.5, Old Odds: 1.854, New Odds: 1.531, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -0.5, Old Odds: 1.735, New Odds: 1.531, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 1.943, New Odds: 1.746, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 2.14, New Odds: 1.746, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -1.0, Old Odds: 2.5, New Odds: 1.943, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -1.0, Old Odds: 2.32, New Odds: 1.943, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -1.0, Old Odds: 2.19, New Odds: 1.943, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: 2 0.0, Old Odds: 1.854, New Odds: 1.552, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: 2 0.0, Old Odds: 1.746, New Odds: 1.552, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: X 0.0, Old Odds: 4.33, New Odds: 3.72, Time: 2023-11-18 15:13:40
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.5, Old Odds: 1.632, New Odds: 1.436, Time: 2023-11-18 15:13:40
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.5, Old Odds: 1.781, New Odds: 1.492, Time: 2023-11-18 15:14:11
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.5, Old Odds: 1.699, New Odds: 1.492, Time: 2023-11-18 15:14:11
